iter	Passed	Remaining
681	812	378
682	813	377
683	814	376
684	814	374
685	815	373
686	816	371
687	817	370
688	817	369
689	818	367
690	819	366
691	820	365
692	822	364
693	824	363
694	825	362
695	826	360
696	827	359
697	827	358
698	828	356
699	829	355
700	830	354
701	830	352
702	831	351
703	832	349
704	832	348
705	833	347
706	834	345
707	836	344
708	837	343
709	838	342
710	838	341
711	839	339
712	840	338
713	841	336
714	841	335
715	842	334
716	843	332
717	843	331
718	844	330
719	845	328
720	845	327
721	846	325
722	847	324
723	847	323
724	848	321
725	851	321
726	852	319
727	852	318
728	853	317
729	854	316
730	855	314
731	855	313
732	856	311
733	857	310
734	857	309
735	858	307
736	859	306
737	859	305
738	860	303
739	860	302
740	861	301
741	863	300
742	864	299
743	865	297
744	866	296
745	867	295
746	868	294
747	869	292
748	869	291
749	870	290
750	871	288
751	871	287
752	872	286
753	873	284
754	873	283
755	874	282
756	875	280
757	875	279
758	876	278
759	877	277
760	878	276
761	880	274
762	881	273
763	881	272
764	882	271
765	883	269
766	883	268
767	884	267
768	885	265
769	885	264
770	886	263
771	887	261
772	887	260
773	888	259
774	888	258
775	889	256
776	890	255
777	891	254
778	892	253
779	893	252
780	894	250
781	895	249
782	896	248
783	897	247
784	897	245
785	898	244
786	899	243
787	900	242
788	901	241
789	901	239
790	902	238
791	903	237
792	903	235
793	904	234
794	905	233
795	906	232
796	907	231
797	908	229
798	909	228
799	909	227
800	910	226
801	911	224
802	911	223
803	912	222
804	913	221
805	913	219
806	914	218
807	915	217
808	916	216
809	917	215
810	918	213
811	918	212
812	920	211
813	921	210
814	922	209
815	923	208
816	923	206
817	924	205
818	925	204
819	925	203
820	926	202
821	927	200
822	928	199
823	928	198
824	929	197
825	930	195
826	931	194
827	932	193
828	932	192
829	933	191
830	935	190
831	936	189
832	937	188
833	938	186
834	939	185
835	940	184
836	941	183
837	941	182
838	942	180
839	943	179
840	944	178
841	944	177
842	945	176
843	946	175
844	947	173
845	948	172
846	950	171
847	950	170
848	951	169
849	952	168
850	953	166
851	953	165
852	954	164
853	955	163
854	955	162
855	956	160
856	957	159
857	958	158
858	959	157
859	960	156
860	961	155
861	961	153
862	962	152
863	963	151
864	964	150
865	965	149
866	966	148
867	967	147
868	967	145
869	968	144
870	969	143
871	970	142
872	970	141
873	971	140
874	972	138
875	972	137
876	973	136
877	974	135
878	975	134
879	976	133
880	977	132
881	979	130
882	980	129
883	981	128
884	982	127
885	982	126
886	983	125
887	984	124
888	987	123
889	988	122
890	989	121
891	990	119
892	992	118
893	993	117
894	994	116
895	995	115
896	996	114
897	997	113
898	998	112
899	999	111
900	1000	109
901	1001	108
902	1002	107
903	1003	106
904	1004	105
905	1005	104
906	1007	103
907	1009	102
908	1011	101
909	1011	100
910	1012	98
911	1013	97
912	1015	96
913	1016	95
914	1019	94
915	1021	93
916	1022	92
917	1023	91
918	1024	90
919	1024	89
920	1025	87
921	1026	86
922	1027	85
923	1028	84
924	1029	83
925	1030	82
926	1031	81
927	1032	80
928	1033	78
929	1034	77
930	1035	76
931	1036	75
932	1037	74
933	1037	73
934	1038	72
935	1039	71
936	1040	69
937	1040	68
938	1041	67
939	1042	66
940	1043	65
941	1044	64
942	1045	63
943	1046	62
944	1047	60
945	1047	59
946	1048	58
947	1050	57
948	1052	56
949	1053	55
950	1054	54
951	1055	53
952	1056	52
953	1056	50
954	1058	49
955	1059	48
956	1059	47
957	1060	46
958	1061	45
959	1062	44
960	1062	43
961	1063	42
962	1064	40
963	1065	39
964	1065	38
965	1066	37
966	1067	36
967	1067	35
968	1068	34
969	1069	33
970	1070	31
971	1071	30
972	1071	29
973	1072	28
974	1073	27
975	1074	26
976	1074	25
977	1075	24
978	1076	23
979	1076	21
980	1077	20
981	1077	19
982	1079	18
983	1081	17
984	1082	16
985	1083	15
986	1084	14
987	1084	13
988	1085	12
989	1086	10
990	1087	9
991	1088	8
992	1089	7
993	1089	6
994	1090	5
995	1091	4
996	1091	3
997	1092	2
998	1093	1
999	1094	0
